,Product,Price,Rating
0,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.3
1,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",4.3
2,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",4.4
3,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",3
4,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",4.4
5,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",4.4
6,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4.3
7,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",4.3
8,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.3
9,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",4.3
10,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",4.3
11,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",4.4
12,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",4.4
13,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",2.9
14,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",4.4
15,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",4.4
16,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",4.4
17,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",4.1
18,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",4.3
19,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",3.4
20,"realme Narzo 20 (Glory Silver, 64 GB)","Rs.₹9,999",4.3
21,"realme 8 5G (Supersonic Blue, 64 GB)","Rs.₹13,999",4.3
22,"realme C12 (Power Blue, 32 GB)","Rs.₹7,999",4.4
23,"I Kall K300 NEW (Blue, 64 GB)","Rs.₹6,799",3.1
24,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",3.4
25,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",4
26,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",1
27,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.4
28,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",5
29,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",3
30,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.4
31,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",5
32,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4
33,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",4.4
34,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",4
35,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",5
36,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",4.3
37,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",5
38,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",3
39,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",4.3
40,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",4.3
41,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",4.4
42,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",3
43,"I Kall K350 (Blue, 32 GB)","Rs.₹6,499",4.4
44,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",4.4
45,"realme 8 5G (Supersonic Blue, 64 GB)","Rs.₹13,999",4.3
46,"POCO M2 Reloaded (Mostly Blue, 64 GB)","Rs.₹9,499",2.9
47,"I Kall K4 (Blue / Sea Blue, 16 GB)","Rs.₹4,429",4.3
48,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.3
49,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",4.3
50,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",2.8
51,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.3
52,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",4.4
53,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",4.4
54,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",3
55,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",4.4
56,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",4.4
57,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4.1
58,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",2.8
59,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",4.3
60,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",4.3
61,"realme C21 (Cross Blue, 32 GB)","Rs.₹7,999",4.4
62,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",3.3
63,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",3.3
64,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",5
65,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",1
66,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",4.4
67,"I Kall K350 (Blue, 32 GB)","Rs.₹6,499",5
68,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",3
69,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",4.4
70,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",5
71,"I Kall K4 (Blue / Sea Blue, 16 GB)","Rs.₹4,429",5
72,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.4
73,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",4
74,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",5
75,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.3
76,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",5
77,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",5
78,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4.3
79,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",4.3
80,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",4.4
81,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",3
82,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",4.4
83,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",4.4
84,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",4.3
85,"realme Narzo 20 (Glory Silver, 64 GB)","Rs.₹9,999",2.9
86,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",4.3
87,"I Kall K300 NEW (Blue, 64 GB)","Rs.₹6,799",4.3
88,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",4.3
89,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",2.8
90,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",4.3
91,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",4.4
92,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",4.4
93,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",3
94,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",4.4
95,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",4.4
96,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.4
97,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",2.8
98,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",4.1
99,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.4
100,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",4.3
101,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",3.3
102,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",3.3
103,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",5
104,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",1
105,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.4
106,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",5
107,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",3
108,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",4.4
109,"realme Narzo 20 (Glory Silver, 64 GB)","Rs.₹9,999",5
110,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",5
111,"I Kall K300 NEW (Blue, 64 GB)","Rs.₹6,799",4.4
112,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",4
113,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",5
114,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",4.3
115,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",5
116,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",5
117,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",4.3
118,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",4.3
119,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",4.4
120,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",3
121,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",4.4
122,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",4.4
123,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.3
124,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",2.9
125,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",4.3
126,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4.3
127,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",4.3
128,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",3.4
129,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.3
130,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",4.3
131,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",4.4
132,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",3.1
133,"realme Narzo 20 (Glory Silver, 64 GB)","Rs.₹9,999",4.4
134,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",4.4
135,"I Kall K300 NEW (Blue, 64 GB)","Rs.₹6,799",4.4
136,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",2.8
137,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",4.4
138,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",4.1
139,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",4.3
140,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",3
141,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",3.4
142,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",4
143,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",1
144,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.4
145,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",5
146,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",3
147,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.4
148,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",5
149,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",4
150,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4.4
151,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",4
152,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",5
153,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.3
154,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",5
155,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",3
156,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",4.3
157,"realme Narzo 20 (Glory Silver, 64 GB)","Rs.₹9,999",4.3
158,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",4.4
159,"I Kall K300 NEW (Blue, 64 GB)","Rs.₹6,799",3
160,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",4.4
161,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",4.4
162,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",4.3
163,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",2.9
164,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",4.3
165,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",4.3
166,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",4.3
167,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",3.4
168,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.3
169,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",4.3
170,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",4.4
171,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",3.1
172,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",4.4
173,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",4.4
174,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4.4
175,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",2.8
176,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",4.4
177,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.1
178,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",4.3
179,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",3
180,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",3.4
181,"realme Narzo 20 (Glory Silver, 64 GB)","Rs.₹9,999",4
182,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",1
183,"I Kall K300 NEW (Blue, 64 GB)","Rs.₹6,799",4.4
184,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",5
185,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",3
186,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",4.4
187,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",5
188,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",4
189,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",4.4
190,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",4
191,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",5
192,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.3
193,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",5
194,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",3
195,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.3
196,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",4.3
197,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",4.4
198,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",3
199,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",4.4
200,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",4.4
201,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.3
202,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",2.9
203,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",4.3
204,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",4.3
205,"realme Narzo 20 (Glory Silver, 64 GB)","Rs.₹9,999",4.3
206,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",3.4
207,"I Kall K300 NEW (Blue, 64 GB)","Rs.₹6,799",4.3
208,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",4.3
209,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",4.4
210,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",3.1
211,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",4.4
212,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",4.4
213,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",4.4
214,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",2.8
215,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",4.4
216,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.1
217,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",4.3
218,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",3
219,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",3.4
220,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",4
221,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",1
222,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.4
223,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",5
224,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",3
225,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4.4
226,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",5
227,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",4
228,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",4.4
229,"realme C21 (Cross Blue, 32 GB)","Rs.₹7,999",4
230,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",5
231,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",4.3
232,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",5
233,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",3
234,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",4.3
235,"I Kall K350 (Blue, 32 GB)","Rs.₹6,499",4.3
236,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",4.4
237,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",3
238,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",4.4
239,"I Kall K4 (Blue / Sea Blue, 16 GB)","Rs.₹4,429",4.4
240,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.3
241,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",2.9
242,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",4.3
243,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.3
244,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",4.3
245,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",3.4
246,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4.3
247,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",4.3
248,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",4.4
249,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",3.1
250,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",4.4
251,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",4.4
252,"REDMI 9i (Nature Green, 64 GB)","Rs.₹7,999",4.4
253,"realme Narzo 20 (Glory Silver, 64 GB)","Rs.₹9,999",2.8
254,"realme C21 (Cross Black, 32 GB)","Rs.₹7,999",4.4
255,"I Kall K300 NEW (Blue, 64 GB)","Rs.₹6,799",4.1
256,"realme C21 (Cross Black, 64 GB)","Rs.₹8,999",4.3
257,"realme C12 (Power Silver, 32 GB)","Rs.₹7,999",3
258,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.₹10,999",3.4
259,"I Kall K460 (Blue, 16 GB)","Rs.₹4,170",4
260,"realme C25 (Watery Blue, 64 GB)","Rs.₹9,999",1
261,"GIONEE Max (Red, 32 GB)","Rs.₹5,499",4.4
262,"REDMI 9i (Sea Blue, 64 GB)","Rs.₹7,999",5
263,"I Kall K400 (Black, 64 GB)","Rs.₹6,299",3
264,"POCO M3 (Cool Blue, 64 GB)","Rs.₹10,499",4.4
265,"REDMI 9i (Midnight Black, 64 GB)","Rs.₹7,999",5
266,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",4
267,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.4
268,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",4
269,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",5
270,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",4.3
271,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",5
272,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",3
273,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.3
274,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",4.3
275,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",4.4
